,Gini,Kaggle_score,Precision,Recall,F1,Time_run
XGB,0.902166994868717,0.7485469237644562,0.7484501402874217,0.8463240986972768,0.7943837753505159,358.6835730075836
Logit,0.8720246366671427,0.6916463361116121,0.7004202647040375,0.8457350119500454,0.7662489659137506,655.7098705768585
MLP,0.8711747806683716,0.6903041162343821,0.7044052707810788,0.8390110075066483,0.765838463990163,1419.4838244915009
